Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-04-20,2023-2024,La Liga,Valencia,Real Betis,Home,1,2,L,Hugo Duro,Y,FW,90,0,0,1,0,0,0,3,2,0,0,0
2024-04-29,2023-2024,La Liga,Valencia,Barcelona,Away,2,4,L,Hugo Duro,Y,FW,69,1,0,2,2,0,0,0,2,0,0,0
2024-05-05,2023-2024,La Liga,Valencia,Alavés,Home,0,1,L,Hugo Duro,Y,FW,90,0,0,1,1,1,0,0,0,0,0,1
2024-05-12,2023-2024,La Liga,Valencia,Rayo Vallecano,Home,0,0,D,Hugo Duro,Y,FW,87,0,0,2,1,0,0,1,2,0,0,0
2024-05-19,2023-2024,La Liga,Valencia,Girona,Home,1,3,L,Hugo Duro,Y,FW,45,0,0,1,0,0,0,1,0,0,1,0
2024-05-26,2023-2024,La Liga,Valencia,Celta Vigo,Away,2,2,D,Hugo Duro,N,,14,0,0,0,0,0,0,1,0,0,0,0
2024-08-17,2024-2025,La Liga,Valencia,Barcelona,Home,1,2,L,Hugo Duro,Y,FW,90,1,0,4,2,0,0,1,0,1,0,1
2024-08-23,2024-2025,La Liga,Valencia,Celta Vigo,Away,1,3,L,Hugo Duro,Y,FW,76,0,0,3,0,0,0,3,1,0,1,0
2024-08-28,2024-2025,La Liga,Valencia,Athletic Club,Away,0,1,L,Hugo Duro,Y,FW,88,0,0,0,0,0,0,1,0,0,2,1
2024-08-31,2024-2025,La Liga,Valencia,Villarreal,Home,1,1,D,Hugo Duro,Y,FW,90,1,0,5,2,1,0,1,0,0,0,1
2024-09-24,2024-2025,La Liga,Valencia,Osasuna,Home,0,0,D,Hugo Duro,N,,17,0,0,0,0,0,0,0,0,0,0,0
2024-09-28,2024-2025,La Liga,Valencia,Real Sociedad,Away,0,3,L,Hugo Duro,Y,FW,90,0,0,0,0,0,0,2,0,0,1,0
2024-10-04,2024-2025,La Liga,Valencia,Leganés,Away,0,0,D,Hugo Duro,Y,FW,72,0,0,1,0,0,0,3,1,0,0,1
2024-10-21,2024-2025,La Liga,Valencia,Las Palmas,Home,2,3,L,Hugo Duro,Y,FW,90,0,0,1,0,0,0,2,1,1,0,1
2024-10-27,2024-2025,La Liga,Valencia,Getafe,Away,1,1,D,Hugo Duro,Y,FW,90,0,0,0,0,1,0,5,0,0,1,1
2024-11-23,2024-2025,La Liga,Valencia,Real Betis,Home,4,2,W,Hugo Duro,Y,FW,73,2,1,3,2,0,0,0,1,0,0,0
2024-11-29,2024-2025,La Liga,Valencia,Mallorca,Away,1,2,L,Hugo Duro,Y,FW,90,0,0,0,0,0,0,1,0,1,0,0
2024-12-07,2024-2025,La Liga,Valencia,Rayo Vallecano,Home,0,1,L,Hugo Duro,Y,FW,90,0,0,3,1,0,0,0,0,0,0,0
2024-12-13,2024-2025,La Liga,Valencia,Valladolid,Away,0,1,L,Hugo Duro,Y,FW,90,0,0,3,0,0,0,0,0,0,0,0
2024-12-22,2024-2025,La Liga,Valencia,Alavés,Home,2,2,D,Hugo Duro,Y,FW,90,0,0,0,0,0,0,4,0,0,0,0
2025-01-03,2024-2025,La Liga,Valencia,Real Madrid,Home,1,2,L,Hugo Duro,Y,FW,90,1,0,2,2,0,0,1,0,0,0,0
2025-01-11,2024-2025,La Liga,Valencia,Sevilla,Away,1,1,D,Hugo Duro,Y,FW,68,0,1,1,0,0,0,0,0,0,0,0
2025-01-19,2024-2025,La Liga,Valencia,Real Sociedad,Home,1,0,W,Hugo Duro,Y,FW,90,1,0,3,2,1,0,0,0,2,0,1
2025-01-26,2024-2025,La Liga,Valencia,Barcelona,Away,1,7,L,Hugo Duro,Y,FW,90,1,0,1,1,0,0,0,1,0,1,0
2025-02-02,2024-2025,La Liga,Valencia,Celta Vigo,Home,2,1,W,Hugo Duro,Y,FW,65,0,0,1,0,0,0,2,0,0,0,1
2025-02-09,2024-2025,La Liga,Valencia,Leganés,Home,2,0,W,Hugo Duro,Y,FW,58,0,0,1,0,0,0,0,1,0,1,0
2025-02-15,2024-2025,La Liga,Valencia,Villarreal,Away,1,1,D,Hugo Duro,Y,FW,54,0,0,0,0,0,0,2,0,0,0,1
2025-02-22,2024-2025,La Liga,Valencia,Atlético Madrid,Home,0,3,L,Hugo Duro,N,,45,0,0,4,0,0,0,0,0,2,1,0
2025-04-05,2024-2025,La Liga,Valencia,Real Madrid,Away,2,1,W,Hugo Duro,N,,17,1,0,1,1,0,0,1,0,0,0,0
2025-04-11,2024-2025,La Liga,Valencia,Sevilla,Home,1,0,W,Hugo Duro,N,,31,0,0,1,1,0,0,0,1,0,0,0
2025-04-19,2024-2025,La Liga,Valencia,Rayo Vallecano,Away,1,1,D,Hugo Duro,Y,FW,54,0,0,2,0,0,0,2,0,0,0,0
2025-04-22,2024-2025,La Liga,Valencia,Espanyol,Home,1,1,D,Hugo Duro,Y,FW,90,0,0,3,1,0,0,1,0,0,0,0
2025-05-03,2024-2025,La Liga,Valencia,Las Palmas,Away,3,2,W,Hugo Duro,Y,FW,72,2,0,2,2,0,0,1,0,0,0,0
2025-05-10,2024-2025,La Liga,Valencia,Getafe,Home,3,0,W,Hugo Duro,Y,FW,90,1,0,3,1,0,0,2,0,0,0,0
2025-05-14,2024-2025,La Liga,Valencia,Alavés,Away,0,1,L,Hugo Duro,Y,FW,64,0,0,0,0,1,0,1,0,0,0,0
2025-05-18,2024-2025,La Liga,Valencia,Athletic Club,Home,0,1,L,Hugo Duro,N,,17,0,0,0,0,0,0,0,0,0,0,0
2025-05-23,2024-2025,La Liga,Valencia,Real Betis,Away,1,1,D,Hugo Duro,N,,35,0,0,0,0,1,0,2,0,0,1,0
