Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-10-07,2018-19,La Liga,Espanyol,Villarreal,Home,3,1,W,Marc Roca,Y,CM,90,0,0,1,0,0,0,1,0,0,4,0
2018-10-21,2018-19,La Liga,Espanyol,Huesca,Away,2,0,W,Marc Roca,Y,CM,90,0,0,1,0,0,0,2,1,0,2,0
2018-10-26,2018-19,La Liga,Espanyol,Valladolid,Away,1,1,D,Marc Roca,Y,CM,90,0,0,1,1,0,0,1,2,0,2,1
2018-11-05,2018-19,La Liga,Espanyol,Athletic Club,Home,1,0,W,Marc Roca,Y,CM,90,0,0,0,0,0,0,1,1,0,1,1
2018-11-11,2018-19,La Liga,Espanyol,Sevilla,Away,1,2,L,Marc Roca,Y,CM,90,0,0,1,0,0,0,1,1,0,1,2
2018-11-25,2018-19,La Liga,Espanyol,Girona,Home,1,3,L,Marc Roca,Y,CM,90,0,0,3,2,0,0,2,2,0,2,1
2018-12-08,2018-19,La Liga,Espanyol,Barcelona,Home,0,4,L,Marc Roca,Y,DM,90,0,0,1,1,0,0,2,0,2,1,1
2018-12-16,2018-19,La Liga,Espanyol,Real Betis,Home,1,3,L,Marc Roca,Y,CM,90,0,0,1,0,0,0,2,0,0,2,0
2019-01-04,2018-19,La Liga,Espanyol,Leganés,Home,1,0,W,Marc Roca,Y,DM,90,0,0,0,0,1,0,4,0,0,2,1
2019-01-14,2018-19,La Liga,Espanyol,Real Sociedad,Away,2,3,L,Marc Roca,Y,DM,90,0,0,1,0,0,0,0,0,0,1,0
2019-01-21,2018-19,La Liga,Espanyol,Eibar,Away,0,3,L,Marc Roca,Y,CM,90,0,0,0,0,0,0,0,2,0,1,0
2019-01-27,2018-19,La Liga,Espanyol,Real Madrid,Home,2,4,L,Marc Roca,Y,CM,90,0,1,0,0,1,0,1,1,0,0,2
2019-02-09,2018-19,La Liga,Espanyol,Rayo Vallecano,Home,2,1,W,Marc Roca,Y,CM,90,0,0,0,0,0,0,1,0,2,1,0
2019-02-17,2018-19,La Liga,Espanyol,Valencia,Away,0,0,D,Marc Roca,Y,DM,90,0,0,0,0,1,0,1,2,0,0,2
2019-02-22,2018-19,La Liga,Espanyol,Huesca,Home,1,1,D,Marc Roca,Y,DM,77,0,0,0,0,0,0,1,0,1,1,1
2019-03-02,2018-19,La Liga,Espanyol,Valladolid,Home,3,1,W,Marc Roca,Y,CM,90,0,0,0,0,0,0,2,0,0,0,1
2019-03-08,2018-19,La Liga,Espanyol,Athletic Club,Away,1,1,D,Marc Roca,Y,DM,90,0,0,0,0,0,0,1,1,0,2,1
2019-03-17,2018-19,La Liga,Espanyol,Sevilla,Home,0,1,L,Marc Roca,Y,DM,90,0,0,0,0,0,0,1,1,0,3,2
2019-03-30,2018-19,La Liga,Espanyol,Barcelona,Away,0,2,L,Marc Roca,Y,CM,90,0,0,0,0,0,0,1,0,0,2,3
2019-04-02,2018-19,La Liga,Espanyol,Getafe,Home,1,1,D,Marc Roca,Y,CM,77,0,0,0,0,0,0,0,1,0,0,0
2019-04-06,2018-19,La Liga,Espanyol,Girona,Away,2,1,W,Marc Roca,Y,CM,90,0,0,2,0,0,0,5,0,0,2,2
2019-04-13,2018-19,La Liga,Espanyol,Alavés,Home,2,1,W,Marc Roca,Y,CM,90,0,0,1,0,1,0,1,2,0,0,0
2019-04-21,2018-19,La Liga,Espanyol,Levante,Away,2,2,D,Marc Roca,Y,CM,90,1,0,1,1,0,0,4,0,0,2,2
