Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-02-09,2019-2020,La Liga,Real Madrid,Osasuna,Away,4,1,W,Luka Modrić,Y,CM,90,0,0,0,0,0,0,1,1,0,4,1
2020-02-16,2019-2020,La Liga,Real Madrid,Celta Vigo,Home,2,2,D,Luka Modrić,N,CM,10,0,0,0,0,0,0,0,1,0,1,0
2020-02-22,2019-2020,La Liga,Real Madrid,Levante,Away,0,1,L,Luka Modrić,Y,CM,80,0,0,3,2,0,0,0,0,0,1,1
2020-03-01,2019-2020,La Liga,Real Madrid,Barcelona,Home,2,0,W,Luka Modrić,N,CM,12,0,0,0,0,0,0,1,0,0,0,0
2020-03-08,2019-2020,La Liga,Real Madrid,Real Betis,Away,1,2,L,Luka Modrić,Y,AM,78,0,0,1,1,0,0,0,0,0,2,1
2020-06-14,2019-2020,La Liga,Real Madrid,Eibar,Home,3,1,W,Luka Modrić,Y,CM,83,0,0,0,0,0,0,0,2,0,1,1
2020-06-18,2019-2020,La Liga,Real Madrid,Valencia,Home,3,0,W,Luka Modrić,Y,CM,90,0,0,1,1,0,0,0,2,2,2,1
2020-06-21,2019-2020,La Liga,Real Madrid,Real Sociedad,Away,2,1,W,Luka Modrić,N,CM,2,0,0,0,0,1,0,0,0,0,0,0
2020-06-24,2019-2020,La Liga,Real Madrid,Mallorca,Home,2,0,W,Luka Modrić,Y,DM,70,0,1,0,0,1,0,2,0,0,4,1
2020-07-02,2019-2020,La Liga,Real Madrid,Getafe,Home,1,0,W,Luka Modrić,Y,CM,62,0,0,1,0,1,0,2,3,0,0,0
2020-07-05,2019-2020,La Liga,Real Madrid,Athletic Club,Away,1,0,W,Luka Modrić,Y,CM,90,0,0,1,1,0,0,2,3,0,1,0
2020-07-10,2019-2020,La Liga,Real Madrid,Alavés,Home,2,0,W,Luka Modrić,Y,CM,69,0,0,3,1,0,0,0,2,0,0,1
2020-07-13,2019-2020,La Liga,Real Madrid,Granada,Away,2,1,W,Luka Modrić,Y,AM,90,0,1,2,0,0,0,3,3,0,1,1
2020-07-16,2019-2020,La Liga,Real Madrid,Villarreal,Home,2,1,W,Luka Modrić,Y,CM,84,0,1,1,1,1,0,2,1,0,1,2
2020-09-20,2020-2021,La Liga,Real Madrid,Real Sociedad,Away,0,0,D,Luka Modrić,Y,DM,69,0,0,0,0,0,0,0,2,0,0,0
2020-09-26,2020-2021,La Liga,Real Madrid,Real Betis,Away,3,2,W,Luka Modrić,N,CM,46,0,0,0,0,1,0,1,0,0,1,1
2020-09-30,2020-2021,La Liga,Real Madrid,Valladolid,Home,1,0,W,Luka Modrić,Y,DM,90,0,0,1,0,0,0,0,2,0,3,2
2020-10-04,2020-2021,La Liga,Real Madrid,Levante,Away,2,0,W,Luka Modrić,Y,CM,88,0,0,0,0,0,1,1,8,2,3,
2020-10-17,2020-2021,La Liga,Real Madrid,Cádiz,Home,0,1,L,Luka Modrić,Y,CM,45,0,0,1,0,0,0,0,0,0,0,0
2020-10-24,2020-2021,La Liga,Real Madrid,Barcelona,Away,3,1,W,Luka Modrić,N,CM,22,1,0,1,1,0,0,0,0,0,1,0
2020-10-31,2020-2021,La Liga,Real Madrid,Huesca,Home,4,1,W,Luka Modrić,Y,CM,90,0,0,1,0,0,2,0,2,1,1,
2020-11-08,2020-2021,La Liga,Real Madrid,Valencia,Away,1,4,L,Luka Modrić,Y,DM,90,0,0,3,2,0,0,1,1,8,2,1
2020-11-21,2020-2021,La Liga,Real Madrid,Villarreal,Away,1,1,D,Luka Modrić,Y,DM,90,0,0,1,0,0,2,0,2,0,3,
2020-11-28,2020-2021,La Liga,Real Madrid,Alavés,Home,1,2,L,Luka Modrić,Y,CM,68,0,0,0,0,0,0,2,0,2,1,0
2020-12-05,2020-2021,La Liga,Real Madrid,Sevilla,Away,1,0,W,Luka Modrić,Y,CM,90,0,0,0,0,1,0,3,0,1,0,3
2020-12-12,2020-2021,La Liga,Real Madrid,Atlético Madrid,Home,2,0,W,Luka Modrić,Y,CM,87,0,0,2,0,0,1,0,0,2,0,
2020-12-15,2020-2021,La Liga,Real Madrid,Athletic Club,Home,3,1,W,Luka Modrić,Y,DM,90,0,1,1,0,0,0,1,1,5,2,0
2020-12-20,2020-2021,La Liga,Real Madrid,Eibar,Away,3,1,W,Luka Modrić,Y,CM,71,1,0,1,1,0,0,1,0,1,1,2
2020-12-30,2020-2021,La Liga,Real Madrid,Elche,Away,1,1,D,Luka Modrić,Y,CM,90,1,0,2,2,0,0,3,1,3,0,1
2021-01-02,2020-2021,La Liga,Real Madrid,Celta Vigo,Home,2,0,W,Luka Modrić,Y,CM,84,0,0,1,0,0,0,2,1,0,1,2
2021-01-09,2020-2021,La Liga,Real Madrid,Osasuna,Away,0,0,D,Luka Modrić,Y,CM,74,0,0,3,0,0,0,0,0,3,0,0
2021-01-23,2020-2021,La Liga,Real Madrid,Alavés,Away,4,1,W,Luka Modrić,Y,CM,76,0,1,2,1,0,0,1,0,0,2,3
2021-01-30,2020-2021,La Liga,Real Madrid,Levante,Home,1,2,L,Luka Modrić,Y,CM,90,0,0,1,0,0,0,1,4,0,1,2
2021-02-06,2020-2021,La Liga,Real Madrid,Huesca,Away,2,1,W,Luka Modrić,Y,CM,90,0,0,0,0,0,1,1,3,1,1,
2021-02-09,2020-2021,La Liga,Real Madrid,Getafe,Home,2,0,W,Luka Modrić,Y,CM,90,0,0,1,1,0,0,1,1,4,0,1
2021-02-14,2020-2021,La Liga,Real Madrid,Valencia,Home,2,0,W,Luka Modrić,Y,CM,78,0,0,4,1,0,0,1,0,0,0,3
2021-02-20,2020-2021,La Liga,Real Madrid,Valladolid,Away,1,0,W,Luka Modrić,Y,CM,90,0,0,0,0,0,0,1,0,4,1,2
2021-03-01,2020-2021,La Liga,Real Madrid,Real Sociedad,Home,1,1,D,Luka Modrić,Y,CM,75,0,0,2,1,0,0,0,0,1,1,1
2021-03-07,2020-21,La Liga,Real Madrid,Atlético Madrid,Away,1,1,D,Luka Modrić,Y,CM,90,0,0,2,0,0,0,0,0,1,1,1
2021-03-13,2020-21,La Liga,Real Madrid,Elche,Home,2,1,W,Luka Modrić,N,N/A,29,0,1,1,0,0,0,0,2,1,1,0
2021-03-20,2020-21,La Liga,Real Madrid,Celta Vigo,Away,3,1,W,Luka Modrić,Y,CM,90,0,0,1,0,1,0,1,0,0,0,1
2021-04-03,2020-21,La Liga,Real Madrid,Eibar,Home,2,0,W,Luka Modrić,Y,DM,60,0,0,2,0,0,0,0,0,0,0,0
2021-04-10,2020-21,La Liga,Real Madrid,Barcelona,Home,2,1,W,Luka Modrić,Y,AM,90,0,0,1,0,0,0,2,0,0,1,1
2021-04-18,2020-21,La Liga,Real Madrid,Getafe,Away,0,0,D,Luka Modrić,Y,DM,90,0,0,1,0,0,0,1,0,3,1,2
2021-04-24,2020-21,La Liga,Real Madrid,Real Betis,Home,0,0,D,Luka Modrić,Y,CM,76,0,0,1,1,0,0,2,0,3,0,2
2021-05-09,2020-21,La Liga,Real Madrid,Sevilla,Home,2,2,D,Luka Modrić,Y,CM,65,0,0,2,1,0,0,0,0,2,0,0
2021-05-13,2020-21,La Liga,Real Madrid,Granada,Away,4,1,W,Luka Modrić,Y,CM,90,1,0,1,1,1,0,2,0,2,1,1
2021-05-16,2020-21,La Liga,Real Madrid,Athletic Club,Away,1,0,W,Luka Modrić,Y,CM,90,0,0,2,1,0,0,0,3,11,2,2
2021-05-22,2020-21,La Liga,Real Madrid,Villarreal,Home,2,1,W,Luka Modrić,Y,CM,90,1,0,3,1,0,0,1,2,6,0,2
2021-08-14,2021-22,La Liga,Real Madrid,Alavés,Away,4,1,W,Luka Modrić,Y,CM,87,0,1,1,0,0,0,0,0,2,1,2
2021-09-12,2021-22,La Liga,Real Madrid,Celta Vigo,Home,5,2,W,Luka Modrić,Y,CM,78,0,0,1,1,0,0,0,0,5,0,0
2021-09-19,2021-22,La Liga,Real Madrid,Valencia,Away,2,1,W,Luka Modrić,Y,DM,66,0,0,0,0,0,0,1,0,1,0,0
2021-09-25,2021-22,La Liga,Real Madrid,Villarreal,Home,0,0,D,Luka Modrić,Y,CM,72,0,0,1,0,0,0,1,0,3,0,0
2021-10-03,2021-22,La Liga,Real Madrid,Espanyol,Away,1,2,L,Luka Modrić,Y,AM,60,0,0,1,0,0,0,0,0,2,0,0
2021-10-24,2021-22,La Liga,Real Madrid,Barcelona,Away,2,1,W,Luka Modrić,Y,CM,90,0,0,1,0,0,0,1,0,0,1,4
2021-10-30,2021-22,La Liga,Real Madrid,Elche,Away,2,1,W,Luka Modrić,Y,CM,83,0,1,0,0,0,0,1,0,0,0,2
2021-11-21,2021-22,La Liga,Real Madrid,Granada,Away,4,1,W,Luka Modrić,Y,CM,79,0,1,1,0,0,0,2,0,1,0,0
2021-11-28,2021-22,La Liga,Real Madrid,Sevilla,Home,2,1,W,Luka Modrić,Y,CM,72,0,0,0,0,0,0,1,0,1,0,3
2021-12-01,2021-22,La Liga,Real Madrid,Athletic Club,Home,1,0,W,Luka Modrić,Y,CM,69,0,1,2,0,1,0,2,0,1,0,0
2021-12-04,2021-22,La Liga,Real Madrid,Real Sociedad,Away,2,0,W,Luka Modrić,Y,CM,90,0,0,2,1,0,0,0,0,0,1,0
2021-12-12,2021-22,La Liga,Real Madrid,Atlético Madrid,Home,2,0,W,Luka Modrić,Y,CM,90,0,0,0,0,0,0,2,0,0,1,3
2022-01-02,2021-22,La Liga,Real Madrid,Getafe,Away,0,1,L,Luka Modrić,Y,CM,90,0,0,3,2,0,0,1,0,1,0,1
2022-01-08,2021-22,La Liga,Real Madrid,Valencia,Home,4,1,W,Luka Modrić,Y,CM,69,0,0,1,0,0,0,1,0,2,0,1
2022-01-23,2021-22,La Liga,Real Madrid,Elche,Home,2,2,D,Luka Modrić,Y,CM,90,1,0,2,1,0,0,2,0,2,1,0
2022-02-06,2021-22,La Liga,Real Madrid,Granada,Home,1,0,W,Luka Modrić,Y,CM,86,0,0,1,0,0,0,1,0,0,1,1
2022-02-12,2021-22,La Liga,Real Madrid,Villarreal,Away,0,0,D,Luka Modrić,N,CM,13,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,2021-22,La Liga,Real Madrid,Alavés,Home,3,0,W,Luka Modrić,Y,CM,81,0,0,2,1,1,0,2,0,4,0,1
2022-02-26,2021-22,La Liga,Real Madrid,Rayo Vallecano,Away,1,0,W,Luka Modrić,Y,CM,87,0,0,1,0,0,0,0,1,0,0,1
2022-03-05,2021-22,La Liga,Real Madrid,Real Sociedad,Home,4,1,W,Luka Modrić,Y,CM,81,1,1,2,1,0,0,1,0,6,1,0
2022-03-14,2021-22,La Liga,Real Madrid,Mallorca,Away,3,0,W,Luka Modrić,N,CM,31,0,0,0,0,0,0,0,0,0,0,1
2022-03-20,2021-22,La Liga,Real Madrid,Barcelona,Home,0,4,L,Luka Modrić,Y,AM,90,0,0,1,0,1,0,1,0,4,0,0
2022-04-02,2021-22,La Liga,Real Madrid,Celta Vigo,Away,2,1,W,Luka Modrić,Y,CM,73,0,0,1,1,0,0,0,0,0,0,0
2022-04-17,2021-22,La Liga,Real Madrid,Sevilla,Away,3,2,W,Luka Modrić,Y,CM,80,0,0,0,0,0,0,1,0,1,0,0
2022-04-30,2021-22,La Liga,Real Madrid,Espanyol,Home,4,0,W,Luka Modrić,Y,CM,59,0,0,0,0,0,0,0,0,3,1,0
2022-05-08,2021-22,La Liga,Real Madrid,Atlético Madrid,Away,0,1,L,Luka Modrić,N,CM,23,0,0,0,0,0,0,0,0,3,0,0
2022-05-12,2021-22,La Liga,Real Madrid,Levante,Home,6,0,W,Luka Modrić,Y,CM,74,0,3,2,2,1,0,2,0,2,0,0
2022-05-20,2021-22,La Liga,Real Madrid,Real Betis,Home,0,0,D,Luka Modrić,Y,CM,69,0,0,1,1,0,0,0,0,3,1,0
2022-08-14,2022-23,La Liga,Real Madrid,Almería,Away,2,1,W,Luka Modrić,N,N/A,45,0,0,2,0,0,0,0,1,0,0,1
2022-08-20,2022-23,La Liga,Real Madrid,Celta Vigo,Away,4,1,W,Luka Modrić,Y,CM,76,1,1,1,1,0,0,0,0,2,1,0
2022-08-28,2022-23,La Liga,Real Madrid,Espanyol,Away,3,1,W,Luka Modrić,Y,CM,57,0,0,0,0,0,0,0,2,3,0,0
2022-09-03,2022-23,La Liga,Real Madrid,Real Betis,Home,2,1,W,Luka Modrić,Y,CM,79,0,0,3,1,0,0,2,0,6,1,1
2022-09-11,2022-23,La Liga,Real Madrid,Mallorca,Home,4,1,W,Luka Modrić,N,N/A,32,0,0,0,0,0,0,1,0,0,0,0
2022-09-18,2022-23,La Liga,Real Madrid,Atlético Madrid,Away,2,1,W,Luka Modrić,Y,CM,81,0,0,0,0,0,0,1,2,0,0,1
2022-10-08,2022-23,La Liga,Real Madrid,Getafe,Away,1,0,W,Luka Modrić,Y,CM,90,0,1,3,0,0,0,1,0,4,0,0
2022-10-16,2022-23,La Liga,Real Madrid,Barcelona,Home,3,1,W,Luka Modrić,Y,CM,77,0,0,0,0,1,0,3,1,2,1,0
2022-10-19,2022-23,La Liga,Real Madrid,Elche,Away,3,0,W,Luka Modrić,Y,CM,61,0,0,0,0,0,0,1,0,0,1,0
2022-10-22,2022-23,La Liga,Real Madrid,Sevilla,Home,3,1,W,Luka Modrić,Y,CM,76,1,0,3,1,0,0,0,0,0,0,0
2022-10-30,2022-23,La Liga,Real Madrid,Girona,Home,1,1,D,Luka Modrić,Y,CM,90,0,0,2,0,1,0,2,0,3,0,0
2022-11-07,2022-23,La Liga,Real Madrid,Rayo Vallecano,Away,2,3,L,Luka Modrić,Y,CM,78,1,0,1,1,1,0,1,0,4,0,1
2022-11-10,2022-23,La Liga,Real Madrid,Cádiz,Home,2,1,W,Luka Modrić,Y,CM,84,0,0,3,0,0,0,1,0,4,1,1
2022-12-30,2022-23,La Liga,Real Madrid,Valladolid,Away,2,0,W,Luka Modrić,N,N/A,3,0,0,1,0,0,0,0,0,0,0,0
2023-01-07,2022-23,La Liga,Real Madrid,Villarreal,Away,1,2,L,Luka Modrić,Y,CM,69,0,0,0,0,0,0,0,1,0,0,0
2023-01-22,2022-23,La Liga,Real Madrid,Athletic Club,Away,2,0,W,Luka Modrić,N,N/A,18,0,0,0,0,0,0,0,0,0,0,0
2023-01-29,2022-23,La Liga,Real Madrid,Real Sociedad,Home,0,0,D,Luka Modrić,N,N/A,14,0,0,1,0,0,0,0,0,1,1,0
2023-02-02,2022-23,La Liga,Real Madrid,Valencia,Home,2,0,W,Luka Modrić,Y,CM,65,0,0,1,1,0,0,0,0,2,1,1
2023-02-05,2022-23,La Liga,Real Madrid,Mallorca,Away,0,1,L,Luka Modrić,N,N/A,27,0,0,1,0,1,0,1,1,8,0,0
2023-02-15,2022-23,La Liga,Real Madrid,Elche,Home,4,0,W,Luka Modrić,N,N/A,23,1,0,2,1,0,0,0,0,3,0,0
2023-02-18,2022-23,La Liga,Real Madrid,Osasuna,Away,2,0,W,Luka Modrić,Y,CM,90,0,0,0,0,0,0,1,4,4,0,4
2023-02-25,2022-23,La Liga,Real Madrid,Atlético Madrid,Home,1,1,D,Luka Modrić,N,N/A,28,0,1,0,0,1,0,1,1,2,0,0
2023-03-11,2022-23,La Liga,Real Madrid,Espanyol,Home,3,1,W,Luka Modrić,Y,CM,71,0,0,1,0,0,0,0,0,3,0,0
2023-03-19,2022-23,La Liga,Real Madrid,Barcelona,Away,1,2,L,Luka Modrić,Y,AM,75,0,0,1,0,1,0,3,2,2,1,1
2023-04-08,2022-23,La Liga,Real Madrid,Villarreal,Home,2,3,L,Luka Modrić,N,N/A,19,0,0,1,0,0,0,0,0,0,0,0
2023-04-15,2022-23,La Liga,Real Madrid,Cádiz,Away,2,0,W,Luka Modrić,N,N/A,11,0,0,0,0,0,0,0,0,1,0,1
2023-04-22,2022-23,La Liga,Real Madrid,Celta Vigo,Home,2,0,W,Luka Modrić,N,N/A,10,0,0,0,0,0,0,0,0,0,0,0
2023-04-25,2022-23,La Liga,Real Madrid,Girona,Away,2,4,L,Luka Modrić,Y,CM,62,0,0,1,0,0,0,0,2,0,1,0
2023-05-13,2022-23,La Liga,Real Madrid,Getafe,Home,1,0,W,Luka Modrić,N,N/A,30,0,0,2,0,0,0,0,0,1,0,0
2023-05-21,2022-23,La Liga,Real Madrid,Valencia,Away,0,1,L,Luka Modrić,N,N/A,26,0,0,0,0,1,0,0,0,3,1,0
2023-05-24,2022-23,La Liga,Real Madrid,Rayo Vallecano,Home,2,1,W,Luka Modrić,Y,AM,70,0,0,0,0,0,0,2,0,3,2,0
2023-05-27,2022-23,La Liga,Real Madrid,Sevilla,Away,2,1,W,Luka Modrić,Y,CM,90,0,0,0,0,0,0,0,1,1,0,0
2023-06-04,2022-23,La Liga,Real Madrid,Athletic Club,Home,1,1,D,Luka Modrić,N,N/A,17,0,0,0,0,0,0,0,0,0,0,0
2023-08-12,2023-24,La Liga,Real Madrid,Athletic Club,Away,2,0,W,Luka Modrić,N,N/A,11,0,0,1,1,0,0,0,0,0,0,0
2023-08-19,2023-24,La Liga,Real Madrid,Almería,Away,3,1,W,Luka Modrić,N,N/A,19,0,0,2,0,0,0,1,0,1,0,2
2023-08-25,2023-24,La Liga,Real Madrid,Celta Vigo,Away,1,0,W,Luka Modrić,N,N/A,29,0,0,0,0,0,0,0,0,0,0,1
2023-09-02,2023-24,La Liga,Real Madrid,Getafe,Home,2,1,W,Luka Modrić,Y,DM,76,0,0,2,2,0,0,3,1,7,0,0
2023-09-17,2023-24,La Liga,Real Madrid,Real Sociedad,Home,2,1,W,Luka Modrić,N,N/A,29,0,0,0,0,0,0,1,0,0,0,0
2023-09-24,2023-24,La Liga,Real Madrid,Atlético Madrid,Away,1,3,L,Luka Modrić,Y,FW,45,0,0,1,0,1,0,0,0,0,0,0
2023-10-07,2023-24,La Liga,Real Madrid,Osasuna,Home,4,0,W,Luka Modrić,Y,DM,78,0,0,0,0,0,0,1,1,2,0,0
2023-10-21,2023-24,La Liga,Real Madrid,Sevilla,Away,1,1,D,Luka Modrić,N,N/A,24,0,0,1,0,0,0,0,0,1,0,0
2023-10-28,2023-24,La Liga,Real Madrid,Barcelona,Away,2,1,W,Luka Modrić,N,N/A,28,0,1,0,0,1,0,3,0,0,0,0
2023-11-05,2023-24,La Liga,Real Madrid,Rayo Vallecano,Home,0,0,D,Luka Modrić,Y,DM,69,0,0,0,0,0,0,1,1,6,0,0
2023-11-11,2023-24,La Liga,Real Madrid,Valencia,Home,5,1,W,Luka Modrić,N,N/A,31,0,0,0,0,0,0,1,2,3,0,0
2023-11-26,2023-24,La Liga,Real Madrid,Cádiz,Away,3,0,W,Luka Modrić,Y,RW,69,0,1,1,0,0,0,1,2,3,3,0
2023-12-09,2023-24,La Liga,Real Madrid,Real Betis,Away,1,1,D,Luka Modrić,Y,AM,69,0,0,3,1,0,0,1,1,2,1,1
2023-12-17,2023-24,La Liga,Real Madrid,Villarreal,Home,4,1,W,Luka Modrić,Y,CM,90,1,1,2,1,0,0,3,0,8,0,1
2023-12-21,2023-24,La Liga,Real Madrid,Alavés,Away,1,0,W,Luka Modrić,Y,DM,54,0,0,0,0,0,0,0,1,0,0,0
2024-01-03,2023-24,La Liga,Real Madrid,Mallorca,Home,1,0,W,Luka Modrić,Y,CM,85,0,1,0,0,0,0,0,0,4,2,1
2024-02-01,2023-24,La Liga,Real Madrid,Getafe,Away,2,0,W,Luka Modrić,Y,AM,90,0,0,1,1,0,0,0,1,5,0,1
2024-02-04,2023-24,La Liga,Real Madrid,Atlético Madrid,Home,1,1,D,Luka Modrić,N,N/A,15,0,0,0,0,0,0,0,1,1,0,0
2024-02-10,2023-24,La Liga,Real Madrid,Girona,Home,4,0,W,Luka Modrić,N,N/A,21,0,0,0,0,0,0,0,0,0,1,1
2024-02-18,2023-24,La Liga,Real Madrid,Rayo Vallecano,Away,1,1,D,Luka Modrić,Y,AM,86,0,0,0,0,0,0,0,3,9,0,0
2024-02-25,2023-24,La Liga,Real Madrid,Sevilla,Home,1,0,W,Luka Modrić,N,N/A,16,1,0,1,1,0,0,1,1,0,0,1
2024-03-02,2023-24,La Liga,Real Madrid,Valencia,Away,2,2,D,Luka Modrić,N,N/A,28,0,0,0,0,0,0,0,0,3,0,0
2024-03-10,2023-24,La Liga,Real Madrid,Celta Vigo,Home,4,0,W,Luka Modrić,Y,DM,82,0,0,0,0,0,0,0,2,14,4,6
2024-03-16,2023-24,La Liga,Real Madrid,Osasuna,Away,4,2,W,Luka Modrić,N,N/A,19,0,0,1,1,0,0,0,0,0,0,0
2024-03-31,2023-24,La Liga,Real Madrid,Athletic Club,Home,2,0,W,Luka Modrić,N,N/A,10,0,0,0,0,0,0,0,0,1,1,1
2024-04-13,2023-24,La Liga,Real Madrid,Mallorca,Away,1,0,W,Luka Modrić,Y,DM,85,0,0,2,0,0,0,1,0,5,0,0
2024-04-21,2023-24,La Liga,Real Madrid,Barcelona,Home,3,2,W,Luka Modrić,Y,CM,90,0,0,2,1,1,0,3,1,1,0,1
2024-04-26,2023-24,La Liga,Real Madrid,Real Sociedad,Away,1,0,W,Luka Modrić,Y,DM,83,0,0,0,0,0,0,0,2,1,1,0
2024-05-04,2023-24,La Liga,Real Madrid,Cádiz,Home,3,0,W,Luka Modrić,Y,CM,90,0,1,2,1,0,0,0,1,5,1,0
2024-05-11,2023-24,La Liga,Real Madrid,Granada,Away,4,0,W,Luka Modrić,Y,CM,69,0,1,1,0,0,0,0,1,1,0,1
2024-05-19,2023-24,La Liga,Real Madrid,Villarreal,Away,4,4,D,Luka Modrić,Y,AM,81,0,0,1,0,0,0,0,0,2,1,0
2024-05-25,2023-24,La Liga,Real Madrid,Real Betis,Home,0,0,D,Luka Modrić,N,N/A,17,0,0,1,0,0,0,0,0,2,0,1
2024-08-18,2024-25,La Liga,Real Madrid,Mallorca,Away,1,1,D,Luka Modrić,N,N/A,28,0,0,2,1,0,0,0,0,3,0,0
2024-08-25,2024-25,La Liga,Real Madrid,Valladolid,Home,3,0,W,Luka Modrić,N,N/A,22,0,0,0,0,0,0,0,0,1,0,0
2024-08-29,2024-25,La Liga,Real Madrid,Las Palmas,Away,1,1,D,Luka Modrić,Y,AM,63,0,0,0,0,0,0,2,1,5,0,1
2024-09-01,2024-25,La Liga,Real Madrid,Real Betis,Home,2,0,W,Luka Modrić,N,N/A,7,0,0,0,0,0,0,0,0,1,0,0
2024-09-14,2024-25,La Liga,Real Madrid,Real Sociedad,Away,2,0,W,Luka Modrić,Y,DM,90,0,0,2,1,1,0,2,1,5,0,1
2024-09-21,2024-25,La Liga,Real Madrid,Espanyol,Home,4,1,W,Luka Modrić,Y,CM,90,0,0,2,0,0,0,0,0,9,0,0
2024-09-24,2024-25,La Liga,Real Madrid,Alavés,Home,3,2,W,Luka Modrić,N,N/A,22,0,0,0,0,1,0,2,0,0,1,0
2024-09-29,2024-25,La Liga,Real Madrid,Atlético Madrid,Away,1,1,D,Luka Modrić,Y,CM,85,0,0,0,0,1,0,3,1,6,0,0
2024-10-05,2024-25,La Liga,Real Madrid,Villarreal,Home,2,0,W,Luka Modrić,Y,RM,89,0,1,1,0,0,0,0,1,3,1,2
2024-10-19,2024-25,La Liga,Real Madrid,Celta Vigo,Away,2,1,W,Luka Modrić,N,N/A,28,0,1,0,0,0,0,1,1,0,0,0
2024-10-26,2024-25,La Liga,Real Madrid,Barcelona,Home,0,4,L,Luka Modrić,N,N/A,28,0,0,1,0,0,0,0,0,2,0,1
2024-11-09,2024-25,La Liga,Real Madrid,Osasuna,Home,4,0,W,Luka Modrić,N,N/A,45,0,0,0,0,0,0,0,0,1,1,1
2024-11-24,2024-25,La Liga,Real Madrid,Leganés,Away,3,0,W,Luka Modrić,N,N/A,8,0,0,0,0,0,0,0,0,1,0,0
2024-12-01,2024-25,La Liga,Real Madrid,Getafe,Home,2,0,W,Luka Modrić,N,N/A,24,0,0,0,0,0,0,0,2,0,0,0
2024-12-04,2024-25,La Liga,Real Madrid,Athletic Club,Away,1,2,L,Luka Modrić,N,N/A,20,0,0,0,0,0,0,0,1,3,1,0
2024-12-07,2024-25,La Liga,Real Madrid,Girona,Away,3,0,W,Luka Modrić,Y,DM,90,0,1,0,0,0,0,1,0,2,1,1
2024-12-14,2024-25,La Liga,Real Madrid,Rayo Vallecano,Away,3,3,D,Luka Modrić,Y,DM,71,0,0,1,0,1,0,1,0,3,0,2
2024-12-22,2024-25,La Liga,Real Madrid,Sevilla,Home,4,2,W,Luka Modrić,N,N/A,20,0,0,0,0,0,0,0,0,1,0,0
2025-01-03,2024-25,La Liga,Real Madrid,Valencia,Away,2,1,W,Luka Modrić,N,N/A,11,1,0,1,1,1,0,1,0,2,0,1
2025-01-25,2024-25,La Liga,Real Madrid,Valladolid,Away,3,0,W,Luka Modrić,N,N/A,23,0,0,1,0,0,0,0,0,2,1,0
2025-02-01,2024-25,La Liga,Real Madrid,Espanyol,Away,0,1,L,Luka Modrić,N,N/A,11,0,0,0,0,0,0,0,0,4,0,0
2025-02-08,2024-25,La Liga,Real Madrid,Atlético Madrid,Home,1,1,D,Luka Modrić,N,N/A,10,0,0,0,0,0,0,0,0,1,1,0
2025-02-15,2024-25,La Liga,Real Madrid,Osasuna,Away,1,1,D,Luka Modrić,Y,CM,90,0,0,1,0,0,0,0,3,5,1,1
2025-02-23,2024-25,La Liga,Real Madrid,Girona,Home,2,0,W,Luka Modrić,Y,CM,85,1,0,2,1,0,0,0,1,4,2,1
2025-03-01,2024-25,La Liga,Real Madrid,Real Betis,Away,1,2,L,Luka Modrić,Y,CM,90,0,0,0,0,1,0,1,0,5,2,4
2025-03-09,2024-25,La Liga,Real Madrid,Rayo Vallecano,Home,2,1,W,Luka Modrić,Y,CM,90,0,1,0,0,1,0,1,3,3,0,2
2025-03-15,2024-25,La Liga,Real Madrid,Villarreal,Away,2,1,W,Luka Modrić,N,N/A,26,0,0,0,0,0,0,0,0,1,1,0
2025-03-29,2024-25,La Liga,Real Madrid,Leganés,Home,3,2,W,Luka Modrić,Y,DM,80,0,0,2,0,0,0,1,0,3,1,0
2025-04-05,2024-25,La Liga,Real Madrid,Valencia,Home,1,2,L,Luka Modrić,Y,CM,76,0,0,0,0,0,0,2,0,4,3,3
2025-04-20,2024-25,La Liga,Real Madrid,Athletic Club,Home,1,0,W,Luka Modrić,Y,DM,77,0,0,1,0,0,0,1,0,8,3,1
2025-05-04,2024-25,La Liga,Real Madrid,Celta Vigo,Home,3,2,W,Luka Modrić,N,N/A,17,0,0,0,0,0,0,0,0,0,0,0
2025-05-11,2024-25,La Liga,Real Madrid,Barcelona,Away,3,4,L,Luka Modrić,N,N/A,45,0,0,0,0,0,0,0,0,2,0,1
2025-05-14,2024-25,La Liga,Real Madrid,Mallorca,Home,2,1,W,Luka Modrić,Y,CM,90,0,1,4,1,0,0,1,3,13,1,1
2025-05-18,2024-25,La Liga,Real Madrid,Sevilla,Away,2,0,W,Luka Modrić,Y,CM,90,0,1,1,1,0,0,2,0,3,0,1
2025-05-24,2024-25,La Liga,Real Madrid,Real Sociedad,Home,2,0,W,Luka Modrić,Y,CM,86,0,0,0,0,0,0,1,1,7,0,1
